District,Taluka,Village_Cluster,Latitude,Longitude,Season,Cane_Variety,Soil_Type,Irrigation_Method,Area_Harvested_Ha,Planting_Date,Harvest_Date,Harvest_Year,Avg_NDVI,Avg_EVI,Avg_LST_Celsius,Avg_Max_Temp_Celsius,Avg_Min_Temp_Celsius,Solar_Radiation_kWh,Avg_Humidity_Percent,Accumulated_Rainfall_mm,Yield_Tonnes_Ha
Ahmednagar,Shrigonda,Shrigonda_Cluster_20,19.2106,75.1394,Pre-seasonal,VSI 434,Medium Black,Drip,4.11,09-12-2020,08-01-2022,2022,0.703,0.665,29.5,31.7,15.1,4.96,66.4,423.1,117.17
Ahmednagar,Rahuri,Rahuri_Cluster_15,18.6772,74.818,Suru,VSI 434,Sandy Loam,Flood,1.82,13-12-2018,05-01-2020,2020,0.708,0.565,31.6,33.7,20,6.37,35.9,474.7,110.79
Ahmednagar,Shrirampur,Shrirampur_Cluster_11,19.1669,74.6846,Suru,VSI 434,Clay Loam,Drip,1.71,05-05-2023,25-05-2024,2024,0.723,0.515,33.1,35.3,20.9,5.95,67.5,600.9,142.46
Ahmednagar,Parner,Parner_Cluster_19,19.0367,74.5846,Suru,CoM 0265,Medium Black,Drip,0.69,08-03-2021,02-04-2022,2022,0.673,0.512,33.2,35.2,16.2,6.11,59.1,594.3,128.62
Ahmednagar,Kopargaon,Kopargaon_Cluster_15,18.9141,74.8345,Suru,Co 86032,Black Cotton,Drip,1.11,23-02-2021,26-02-2022,2022,0.631,0.43,32,33.9,18.3,6.18,65.8,495,130.87
Ahmednagar,Kopargaon,Kopargaon_Cluster_11,18.7568,75.0261,Suru,CoM 0265,Clay Loam,Drip,3.95,17-05-2022,13-08-2023,2023,0.723,0.596,31.6,33.8,20.4,5.8,62,438.8,133.14
Ahmednagar,Parner,Parner_Cluster_19,19.4348,75.0626,Pre-seasonal,CoM 0265,Black Cotton,Drip,2,19-09-2023,21-10-2024,2024,0.85,0.691,29.3,31.8,20.5,4.91,61.8,475.3,163.8
Ahmednagar,Sangamner,Sangamner_Cluster_4,18.9956,74.802,Adsali,CoM 0265,Black Cotton,Drip,2.29,16-04-2018,19-08-2019,2019,0.85,0.746,30.7,33.3,17.8,5.52,72,490.9,180
Ahmednagar,Kopargaon,Kopargaon_Cluster_6,18.6806,75.0259,Suru,Co 86032,Clay Loam,Rainfed,4.4,06-10-2020,07-01-2022,2022,0.617,0.481,38.2,40,22.5,5.57,51.5,527.4,107.97
Ahmednagar,Kopargaon,Kopargaon_Cluster_18,19.0953,74.472,Suru,Co 86032,Sandy Loam,Flood,3.08,02-08-2019,20-09-2020,2020,0.687,0.587,34.2,36.3,19,6.27,57.8,555.1,116.88
Ahmednagar,Pathardi,Pathardi_Cluster_2,19.3748,75.147,Suru,Co 86032,Sandy Loam,Rainfed,3.72,23-02-2023,07-04-2024,2024,0.411,0.446,34.9,36.1,21.8,5.65,49.4,529.2,77.18
Ahmednagar,Jamkhed,Jamkhed_Cluster_18,18.9399,74.5115,Adsali,VSI 434,Sandy Loam,Flood,4.43,12-07-2023,11-07-2024,2024,0.591,0.532,28.6,30.3,17.5,6.28,55,432.8,128.38
Ahmednagar,Shrirampur,Shrirampur_Cluster_20,19.1066,74.2507,Suru,Co 92005,Sandy Loam,Drip,3.34,27-03-2021,14-06-2022,2022,0.403,0.34,31,32.2,20.2,5.78,45.9,256.8,94.96
Ahmednagar,Parner,Parner_Cluster_12,18.7206,74.3082,Suru,Co 86032,Medium Black,Flood,2.62,04-05-2020,15-07-2021,2021,0.748,0.606,34,36.2,21.6,6.05,56.8,346.1,121.33
Ahmednagar,Shrigonda,Shrigonda_Cluster_14,19.049,74.4893,Adsali,VSI 434,Sandy Loam,Drip,2.77,06-09-2018,07-12-2019,2019,0.629,0.498,34.6,36.5,19.4,4.98,68,423.6,117.31
Ahmednagar,Jamkhed,Jamkhed_Cluster_6,19.1169,74.6098,Adsali,VSI 434,Clay Loam,Drip,2.92,23-08-2020,23-08-2021,2021,0.625,0.453,31,32.9,19.2,4.74,58.1,303.2,137.87
Ahmednagar,Shrirampur,Shrirampur_Cluster_12,19.1044,74.9332,Adsali,Co 92005,Black Cotton,Flood,3.67,04-10-2022,20-12-2023,2023,0.823,0.716,29.5,32,18.5,5.42,56.9,428.4,149.75
Ahmednagar,Sangamner,Sangamner_Cluster_17,18.932,75.0071,Pre-seasonal,Co 92005,Black Cotton,Rainfed,1.8,02-03-2023,14-06-2024,2024,0.355,0.303,29.6,30.7,19.2,4.98,76.4,689.8,101.21
Ahmednagar,Nevasa,Nevasa_Cluster_4,19.1012,75.169,Suru,VSI 434,Medium Black,Flood,2.43,29-04-2018,12-05-2019,2019,0.573,0.431,30.7,32.4,17,6.31,63.5,659.2,94.17
Ahmednagar,Rahuri,Rahuri_Cluster_19,18.754,74.6316,Adsali,VSI 434,Clay Loam,Drip,2,21-03-2020,05-06-2021,2021,0.843,0.693,31.3,33.8,20.1,4.33,51.4,570.7,153.75
Ahmednagar,Parner,Parner_Cluster_5,18.7273,75.0955,Adsali,CoM 0265,Clay Loam,Flood,4.04,30-09-2018,01-10-2019,2019,0.706,0.458,29.8,31.9,17.5,5.52,79.5,571.3,144.43
Ahmednagar,Rahuri,Rahuri_Cluster_16,19.3223,74.4404,Adsali,Co 92005,Sandy Loam,Rainfed,4.7,03-03-2023,29-05-2024,2024,0.583,0.434,32.3,34.1,18.3,5.61,51.9,558.7,94.12
Ahmednagar,Akole,Akole_Cluster_1,18.819,75.1012,Suru,CoM 0265,Clay Loam,Rainfed,4.96,21-04-2023,20-08-2024,2024,0.588,0.446,34.7,36.5,22.8,5.81,56.2,991,98.21
Ahmednagar,Akole,Akole_Cluster_14,18.9502,74.3509,Pre-seasonal,Co 92005,Medium Black,Flood,2.2,03-03-2018,08-03-2019,2019,0.639,0.535,27.3,29.2,19.5,5.75,88.5,931.7,137.96
Ahmednagar,Shevgaon,Shevgaon_Cluster_19,18.8373,74.2335,Adsali,Co 92005,Black Cotton,Drip,2.65,04-05-2022,12-06-2023,2023,0.85,0.673,29.4,31.9,21.1,5.74,54.8,593.9,174.87
Ahmednagar,Parner,Parner_Cluster_9,19.4667,74.5772,Pre-seasonal,Co 86032,Medium Black,Drip,2.01,01-07-2021,05-07-2022,2022,0.662,0.426,29.6,31.6,20.9,6.02,60,782.9,153.26
Ahmednagar,Nevasa,Nevasa_Cluster_8,19.1181,74.5225,Suru,VSI 434,Sandy Loam,Rainfed,3.84,20-06-2021,17-10-2022,2022,0.3,0.218,36.1,37,23.7,6.37,62.5,456.4,69.56
Ahmednagar,Pathardi,Pathardi_Cluster_1,18.6816,74.3597,Suru,Co 86032,Sandy Loam,Flood,3.06,30-06-2021,07-08-2022,2022,0.459,0.369,36.4,37.8,22.4,5.97,56.9,646.1,94.08
Ahmednagar,Sangamner,Sangamner_Cluster_2,18.5662,75.0561,Pre-seasonal,CoM 0265,Sandy Loam,Rainfed,4.26,26-12-2021,26-12-2022,2022,0.607,0.463,32.6,34.4,21.4,5.38,45.1,453.3,112.14
Ahmednagar,Shrigonda,Shrigonda_Cluster_20,19.4554,75.02,Adsali,Co 92005,Clay Loam,Flood,1.67,05-09-2022,22-11-2023,2023,0.657,0.551,31.8,33.8,22.4,5.64,64.6,514.9,152.42
Ahmednagar,Jamkhed,Jamkhed_Cluster_19,18.5076,74.8113,Suru,Co 92005,Clay Loam,Rainfed,1.8,29-03-2018,12-04-2019,2019,0.496,0.361,34.3,35.8,19.6,5.4,70.7,442.5,86.67
Ahmednagar,Akole,Akole_Cluster_19,18.8397,74.2879,Suru,CoM 0265,Medium Black,Rainfed,2.41,10-11-2022,23-12-2023,2023,0.605,0.532,35,36.8,21.3,6.11,74.1,774.2,114.59
Ahmednagar,Parner,Parner_Cluster_4,18.874,74.7877,Adsali,CoM 0265,Medium Black,Rainfed,2.63,18-06-2020,15-09-2021,2021,0.606,0.582,29.3,31.1,19,5.37,45.2,674.9,140.79
Ahmednagar,Jamkhed,Jamkhed_Cluster_7,18.8778,74.6121,Suru,Co 86032,Clay Loam,Drip,3.21,30-04-2021,23-06-2022,2022,0.69,0.543,34.8,36.9,21.6,5.89,49.1,417.9,121.55
Ahmednagar,Rahuri,Rahuri_Cluster_3,19.4901,74.8925,Suru,Co 86032,Clay Loam,Flood,1.68,31-01-2020,21-04-2021,2021,0.369,0.278,36.5,37.6,17.2,6.04,75,633.1,111.87
Ahmednagar,Akole,Akole_Cluster_6,18.9296,74.7517,Suru,Co 92005,Sandy Loam,Rainfed,1.55,12-11-2018,20-12-2019,2019,0.3,0.232,36.9,37.8,20.3,6.51,57.8,921,82.14
Ahmednagar,Shevgaon,Shevgaon_Cluster_13,19.3378,74.9384,Pre-seasonal,Co 92005,Medium Black,Flood,1.76,15-07-2020,07-09-2021,2021,0.377,0.2,28,29.1,20.9,4.89,44.7,330.1,99.47
Ahmednagar,Jamkhed,Jamkhed_Cluster_14,18.5991,75.0542,Pre-seasonal,Co 92005,Clay Loam,Drip,4.42,06-01-2023,22-03-2024,2024,0.656,0.417,29.2,31.1,17.6,5.39,52.8,463.3,137.27
Ahmednagar,Shevgaon,Shevgaon_Cluster_8,18.9392,74.6425,Adsali,VSI 434,Clay Loam,Drip,1.91,12-02-2019,07-06-2020,2020,0.712,0.63,30.8,32.9,22,5.25,57.8,427.1,151.02
Ahmednagar,Akole,Akole_Cluster_11,19.3329,74.7645,Adsali,CoM 0265,Medium Black,Rainfed,3.02,22-11-2018,23-02-2020,2020,0.85,0.657,32.5,35.1,18.2,5.09,74.7,713.4,131.45
Ahmednagar,Shevgaon,Shevgaon_Cluster_7,19.2243,75.0548,Pre-seasonal,VSI 434,Sandy Loam,Drip,1.42,03-09-2018,19-10-2019,2019,0.836,0.684,31.4,33.9,19.4,4.86,71.8,476.2,134.85
Ahmednagar,Rahata,Rahata_Cluster_5,19.2897,74.7353,Adsali,Co 92005,Medium Black,Rainfed,1.34,05-03-2020,04-07-2021,2021,0.6,0.466,32.2,34,24.9,4.8,68.8,587.2,115.74
Ahmednagar,Shrigonda,Shrigonda_Cluster_6,18.58,74.644,Pre-seasonal,Co 92005,Black Cotton,Rainfed,2.33,27-10-2022,12-11-2023,2023,0.466,0.407,28.3,29.7,17.7,5.58,63.9,330.6,134.35
Ahmednagar,Pathardi,Pathardi_Cluster_10,19.0504,74.9433,Pre-seasonal,Co 86032,Clay Loam,Drip,4.06,06-06-2020,27-06-2021,2021,0.756,0.626,31.4,33.7,15.3,5.89,58.7,324.4,149.94
Ahmednagar,Sangamner,Sangamner_Cluster_10,18.9537,75.017,Adsali,Co 86032,Clay Loam,Flood,2.25,17-06-2018,26-10-2019,2019,0.816,0.643,30.3,32.8,19.7,6.11,45.6,489.3,169.85
Ahmednagar,Rahata,Rahata_Cluster_19,19.4393,74.5559,Adsali,Co 86032,Sandy Loam,Drip,3.51,19-01-2023,14-04-2024,2024,0.826,0.629,29.1,31.6,24,5.56,57.6,513.7,180
Ahmednagar,Rahuri,Rahuri_Cluster_12,18.7771,74.5674,Suru,Co 86032,Black Cotton,Flood,3.63,27-06-2018,01-11-2019,2019,0.747,0.588,33.1,35.4,19.7,5.26,62.1,510.2,123.53
Ahmednagar,Jamkhed,Jamkhed_Cluster_17,19.4302,74.5578,Suru,Co 86032,Black Cotton,Rainfed,1.97,19-09-2020,25-11-2021,2021,0.513,0.404,36.4,37.9,16.5,5.82,64.7,397.8,84.73
Ahmednagar,Nevasa,Nevasa_Cluster_14,19.2871,74.3027,Pre-seasonal,Co 92005,Sandy Loam,Flood,3.84,13-10-2019,09-01-2021,2021,0.801,0.615,26.6,29,25.2,5.54,66,337.3,160.5
Ahmednagar,Akole,Akole_Cluster_13,18.5109,74.7654,Suru,CoM 0265,Black Cotton,Drip,3.56,30-07-2021,25-09-2022,2022,0.85,0.703,30.9,33.5,19.6,5.51,80.1,853.9,167.53
Ahmednagar,Shevgaon,Shevgaon_Cluster_12,18.7534,74.4854,Adsali,CoM 0265,Black Cotton,Flood,1.72,23-10-2019,18-12-2020,2020,0.85,0.672,32.6,35.1,21.4,5.5,80.8,414.1,172.21
Ahmednagar,Nevasa,Nevasa_Cluster_17,19.458,74.3902,Suru,CoM 0265,Sandy Loam,Rainfed,0.71,05-10-2020,03-12-2021,2021,0.499,0.281,34.4,35.9,20.4,6.37,73.7,721.8,108.42
Ahmednagar,Sangamner,Sangamner_Cluster_4,18.5035,74.2836,Suru,CoM 0265,Medium Black,Rainfed,2.57,31-10-2020,28-12-2021,2021,0.331,0.195,36.9,37.9,22.7,6.61,42.8,491.5,89.7
Ahmednagar,Shevgaon,Shevgaon_Cluster_17,19.4342,74.5418,Suru,Co 92005,Medium Black,Drip,1.41,02-04-2020,14-08-2021,2021,0.46,0.307,37.3,38.6,19,5.86,65.8,408.8,116.53
Ahmednagar,Akole,Akole_Cluster_3,19.2209,74.2553,Adsali,VSI 434,Medium Black,Drip,2.44,12-03-2018,06-06-2019,2019,0.85,0.68,30,32.5,18.2,4.89,64.3,1045,180
Ahmednagar,Jamkhed,Jamkhed_Cluster_4,19.2595,75.0154,Pre-seasonal,Co 86032,Medium Black,Drip,2.86,02-04-2023,03-06-2024,2024,0.729,0.582,28.8,31,22,6.25,48,435.8,153.43
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_12,19.0079,74.6625,Suru,Co 86032,Sandy Loam,Flood,4.46,20-11-2017,13-02-2019,2019,0.722,0.668,33.5,35.7,18.4,6.57,65,661.2,133.89
Ahmednagar,Rahata,Rahata_Cluster_3,18.7819,75.1402,Adsali,Co 86032,Clay Loam,Drip,2.08,16-08-2018,18-08-2019,2019,0.85,0.638,27.1,29.6,18.6,5.24,68.5,587.1,180
Ahmednagar,Shrirampur,Shrirampur_Cluster_19,18.9819,75.182,Adsali,VSI 434,Medium Black,Drip,1.66,02-07-2018,22-10-2019,2019,0.69,0.535,32.7,34.8,23.2,4.49,56.2,481.8,135.91
Ahmednagar,Karjat,Karjat_Cluster_3,18.8684,74.863,Suru,Co 86032,Medium Black,Rainfed,1.45,28-03-2021,05-04-2022,2022,0.67,0.575,33.6,35.6,19.3,6.15,46.8,287,96.52
Ahmednagar,Rahata,Rahata_Cluster_13,18.7207,75.111,Suru,Co 92005,Sandy Loam,Rainfed,1.59,25-09-2020,13-01-2022,2022,0.427,0.421,33.8,35,18.9,6.21,66.4,591.1,89.22
Ahmednagar,Pathardi,Pathardi_Cluster_18,18.5156,74.7958,Adsali,CoM 0265,Black Cotton,Drip,1.63,10-08-2019,20-12-2020,2020,0.85,0.602,29,31.5,20.1,5.57,72,449,180
Ahmednagar,Rahata,Rahata_Cluster_15,19.1999,74.4128,Adsali,Co 86032,Black Cotton,Rainfed,0.65,12-12-2022,29-01-2024,2024,0.764,0.594,31.9,34.2,23.3,5.73,61,400.6,157.97
Ahmednagar,Nevasa,Nevasa_Cluster_6,19.0793,74.2295,Adsali,CoM 0265,Medium Black,Drip,0.96,31-07-2018,03-10-2019,2019,0.85,0.721,30.3,32.8,19.6,5.44,48.4,480.1,176.51
Ahmednagar,Shrirampur,Shrirampur_Cluster_16,19.1822,74.8148,Adsali,VSI 434,Medium Black,Flood,1.55,06-03-2023,22-06-2024,2024,0.85,0.661,28.3,30.8,20.9,5.8,66.8,511.7,131.08
Ahmednagar,Shrirampur,Shrirampur_Cluster_19,19.3168,74.2365,Adsali,Co 92005,Sandy Loam,Flood,1.39,11-10-2019,13-10-2020,2020,0.678,0.551,29.3,31.4,18.4,5.47,67.6,565.3,132.25
Ahmednagar,Rahuri,Rahuri_Cluster_18,19.19,74.4464,Adsali,Co 92005,Sandy Loam,Rainfed,0.88,17-12-2019,25-01-2021,2021,0.59,0.508,30.8,32.5,19.5,4.86,76.3,393.7,122.13
Ahmednagar,Karjat,Karjat_Cluster_5,19.0091,74.2213,Suru,Co 92005,Clay Loam,Rainfed,3.61,11-03-2022,07-06-2023,2023,0.473,0.364,36.9,38.3,19.4,6.09,63.1,319.2,96.6
Ahmednagar,Shrirampur,Shrirampur_Cluster_17,19.3118,74.8763,Adsali,Co 92005,Black Cotton,Flood,1.98,18-03-2018,16-04-2019,2019,0.643,0.514,32.9,34.8,21.7,5.14,64.1,576.9,165.32
Ahmednagar,Karjat,Karjat_Cluster_3,18.67,74.418,Suru,Co 86032,Sandy Loam,Rainfed,2.39,23-10-2023,07-12-2024,2024,0.459,0.356,31.6,33,19.8,5.99,47.5,387.2,83.71
Ahmednagar,Parner,Parner_Cluster_7,18.7666,75.0579,Pre-seasonal,VSI 434,Black Cotton,Drip,2,28-02-2019,17-04-2020,2020,0.757,0.556,31.6,33.8,20.6,5.59,50.6,638.8,158.62
Ahmednagar,Sangamner,Sangamner_Cluster_6,19.3686,74.8923,Suru,Co 92005,Sandy Loam,Rainfed,4.49,03-12-2018,10-03-2020,2020,0.304,0.303,32.5,33.4,22.1,5.1,67.7,542.1,62.43
Ahmednagar,Kopargaon,Kopargaon_Cluster_11,19.3683,75.11,Suru,VSI 434,Clay Loam,Rainfed,2.03,07-02-2023,09-02-2024,2024,0.3,0.261,34.6,35.5,19.5,5.95,60.9,595.7,84.43
Ahmednagar,Shrirampur,Shrirampur_Cluster_3,19.3198,74.5181,Suru,CoM 0265,Sandy Loam,Rainfed,3.04,19-03-2018,19-05-2019,2019,0.352,0.283,33.3,34.4,20.8,5.31,79.7,510.1,91.18
Ahmednagar,Kopargaon,Kopargaon_Cluster_16,18.8751,74.449,Adsali,CoM 0265,Clay Loam,Rainfed,3.05,21-10-2019,06-02-2021,2021,0.784,0.678,31.6,34,19.9,5.03,76.1,557.3,138.81
Ahmednagar,Karjat,Karjat_Cluster_1,19.1983,74.5532,Adsali,VSI 434,Sandy Loam,Drip,3.49,28-10-2022,25-11-2023,2023,0.771,0.569,29.6,31.9,21.5,5.52,62.1,497.4,161.56
Ahmednagar,Kopargaon,Kopargaon_Cluster_12,19.4695,74.5792,Suru,VSI 434,Clay Loam,Rainfed,4.44,05-04-2019,22-04-2020,2020,0.454,0.381,32.1,33.4,23,6.6,67.5,408.3,92.41
Ahmednagar,Karjat,Karjat_Cluster_2,19.4753,74.3742,Pre-seasonal,Co 86032,Medium Black,Flood,1.07,28-03-2018,07-07-2019,2019,0.532,0.502,30,31.6,19.3,5.59,75.4,409.1,123.33
Ahmednagar,Akole,Akole_Cluster_18,18.9819,74.3591,Pre-seasonal,CoM 0265,Clay Loam,Flood,4.25,29-06-2020,04-10-2021,2021,0.66,0.544,29.7,31.7,17.2,5.92,89.8,822,153.55
Ahmednagar,Rahata,Rahata_Cluster_10,18.9188,74.744,Suru,CoM 0265,Sandy Loam,Rainfed,1.79,16-10-2022,21-11-2023,2023,0.3,0.248,35.5,36.4,21.5,5.25,64.5,607.2,71.09
Ahmednagar,Rahata,Rahata_Cluster_6,18.7258,74.2722,Pre-seasonal,Co 92005,Medium Black,Drip,4.22,17-04-2021,28-06-2022,2022,0.814,0.618,33.3,35.7,22.7,5.59,50.2,635.4,163.19
Ahmednagar,Akole,Akole_Cluster_10,18.9095,74.2087,Pre-seasonal,Co 86032,Clay Loam,Drip,3.4,19-09-2021,17-01-2023,2023,0.85,0.693,29.1,31.6,21.9,6.1,91.9,915.9,169.83
Ahmednagar,Nevasa,Nevasa_Cluster_4,19.1764,74.2608,Pre-seasonal,Co 92005,Medium Black,Drip,1.75,25-06-2023,16-08-2024,2024,0.717,0.644,29.7,31.8,19.9,4.51,41.9,357.7,138.72
Ahmednagar,Karjat,Karjat_Cluster_16,18.9081,74.3578,Adsali,Co 92005,Sandy Loam,Flood,2.71,04-06-2022,07-06-2023,2023,0.615,0.523,28.9,30.8,17.9,5.39,43.8,362.4,117.05
Ahmednagar,Shrirampur,Shrirampur_Cluster_17,18.5422,74.6976,Pre-seasonal,Co 86032,Clay Loam,Rainfed,0.79,25-08-2021,03-01-2023,2023,0.429,0.306,30.5,31.7,21.6,5.75,47.5,463.1,103.95
Ahmednagar,Shrigonda,Shrigonda_Cluster_2,18.8672,74.7116,Suru,VSI 434,Medium Black,Rainfed,3.93,04-03-2023,09-07-2024,2024,0.3,0.242,32.8,33.7,17.3,6.37,50,434.3,76.98
Ahmednagar,Nevasa,Nevasa_Cluster_12,19.0507,74.637,Adsali,CoM 0265,Clay Loam,Flood,3.96,29-05-2018,08-08-2019,2019,0.565,0.511,33.7,35.4,18.9,5.67,80.7,513.7,127.64
Ahmednagar,Parner,Parner_Cluster_10,18.6515,74.472,Suru,VSI 434,Medium Black,Flood,3.55,06-04-2020,10-06-2021,2021,0.38,0.333,35.5,36.6,22.3,5.44,66.3,391.3,93.97
Ahmednagar,Kopargaon,Kopargaon_Cluster_18,18.9923,74.6667,Adsali,CoM 0265,Sandy Loam,Drip,1.42,24-11-2022,27-02-2024,2024,0.85,0.685,28.7,31.2,21.8,5.18,49.4,677.6,172.86
Ahmednagar,Akole,Akole_Cluster_3,19.4552,74.9162,Adsali,CoM 0265,Clay Loam,Flood,4.12,17-12-2017,19-03-2019,2019,0.761,0.568,25.8,28.1,16.1,4.5,74.9,868.7,173.24
Ahmednagar,Nevasa,Nevasa_Cluster_7,19.0091,74.8646,Pre-seasonal,Co 92005,Sandy Loam,Drip,2.81,30-12-2017,08-01-2019,2019,0.489,0.426,26.7,28.2,18.8,5.22,63.4,732.7,123.83
Ahmednagar,Kopargaon,Kopargaon_Cluster_13,18.548,74.5131,Suru,CoM 0265,Sandy Loam,Flood,2.98,23-07-2023,04-11-2024,2024,0.451,0.375,32.2,33.5,20,6.13,42.5,386.7,89.07
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_13,18.5533,74.8781,Adsali,VSI 434,Sandy Loam,Drip,1.82,15-10-2017,22-02-2019,2019,0.85,0.688,29.1,31.7,20.4,5.42,64.2,633.1,170.67
Ahmednagar,Shrigonda,Shrigonda_Cluster_3,18.9918,74.9366,Pre-seasonal,VSI 434,Clay Loam,Drip,2.22,31-12-2020,12-02-2022,2022,0.667,0.531,30.9,32.9,20.7,5.14,54.1,606.8,130.19
Ahmednagar,Kopargaon,Kopargaon_Cluster_11,19.251,74.2294,Pre-seasonal,VSI 434,Black Cotton,Flood,4.78,29-05-2019,21-06-2020,2020,0.579,0.383,33.5,35.3,19,6.13,51.7,560.1,145.04
Ahmednagar,Jamkhed,Jamkhed_Cluster_2,18.8326,75.1771,Pre-seasonal,VSI 434,Sandy Loam,Rainfed,4.04,05-05-2021,15-07-2022,2022,0.705,0.514,28.5,30.6,17.2,6.48,76.9,363,110.16
Ahmednagar,Rahuri,Rahuri_Cluster_13,18.5794,75.1972,Adsali,Co 86032,Medium Black,Flood,1.62,20-05-2023,09-06-2024,2024,0.799,0.692,26.3,28.7,19.5,4.43,62.2,575.2,166.9
Ahmednagar,Shrigonda,Shrigonda_Cluster_10,19.4525,74.3549,Pre-seasonal,VSI 434,Sandy Loam,Drip,3.51,09-12-2021,04-04-2023,2023,0.761,0.66,32.5,34.7,18.8,5.77,59.1,387.6,138.87
Ahmednagar,Akole,Akole_Cluster_20,19.3075,75.0139,Suru,VSI 434,Black Cotton,Flood,2.93,01-11-2018,24-02-2020,2020,0.821,0.682,34.7,37.1,21,7,83,737.6,129.91
Ahmednagar,Rahata,Rahata_Cluster_17,18.6826,74.6474,Suru,Co 92005,Clay Loam,Flood,1.77,29-10-2022,22-02-2024,2024,0.361,0.185,33.4,34.5,18.5,6.22,60.2,393.8,98.75
Ahmednagar,Rahata,Rahata_Cluster_17,18.8613,75.0989,Pre-seasonal,Co 86032,Clay Loam,Flood,3.4,08-05-2019,27-05-2020,2020,0.789,0.526,28.2,30.6,23.2,6.26,57.6,393.5,137.53
Ahmednagar,Karjat,Karjat_Cluster_9,18.8668,74.6975,Adsali,VSI 434,Sandy Loam,Drip,2.37,07-07-2018,03-10-2019,2019,0.758,0.605,31,33.2,19.6,5.07,51.7,420.3,161.63
Ahmednagar,Pathardi,Pathardi_Cluster_18,19.193,75.0541,Suru,Co 86032,Sandy Loam,Rainfed,1.95,07-08-2019,25-08-2020,2020,0.584,0.526,30.2,32,20.7,5.44,60.8,509,107.76
Ahmednagar,Sangamner,Sangamner_Cluster_10,18.7469,74.8796,Adsali,Co 86032,Black Cotton,Flood,2.46,19-04-2022,25-04-2023,2023,0.727,0.554,29.9,32.1,21.4,5.77,79.1,398.4,162.92
Ahmednagar,Jamkhed,Jamkhed_Cluster_19,19.3252,74.9314,Pre-seasonal,VSI 434,Medium Black,Flood,3.05,21-06-2023,23-09-2024,2024,0.768,0.595,27.3,29.6,16,5.52,49,258.9,141.76
Ahmednagar,Shevgaon,Shevgaon_Cluster_6,18.8183,74.601,Suru,Co 86032,Clay Loam,Drip,1.37,10-02-2022,13-05-2023,2023,0.777,0.629,32,34.4,19.2,6.03,68.6,494.4,152.79
Ahmednagar,Akole,Akole_Cluster_17,19.1261,74.3749,Adsali,Co 86032,Clay Loam,Rainfed,1.55,05-11-2023,05-12-2024,2024,0.653,0.557,31.5,33.5,18.9,5.79,68.6,940.7,121.85
Ahmednagar,Shrirampur,Shrirampur_Cluster_16,18.7632,74.3988,Adsali,Co 86032,Medium Black,Flood,2.78,17-04-2023,22-06-2024,2024,0.593,0.467,29.7,31.5,21,4.63,83.8,497.4,148.3
Ahmednagar,Sangamner,Sangamner_Cluster_14,18.5168,74.7398,Suru,CoM 0265,Black Cotton,Rainfed,4,28-10-2021,07-02-2023,2023,0.307,0.297,33.9,34.8,24.8,6.07,55,522.6,94.37
Ahmednagar,Parner,Parner_Cluster_19,18.7557,74.3292,Adsali,VSI 434,Clay Loam,Rainfed,4.49,26-04-2023,23-07-2024,2024,0.554,0.445,28.6,30.2,18.1,5.85,61.9,619.9,122.58
Ahmednagar,Jamkhed,Jamkhed_Cluster_18,19.413,75.0635,Suru,Co 92005,Clay Loam,Rainfed,4.52,02-10-2017,12-02-2019,2019,0.521,0.521,33,34.6,22.2,6.31,56,254,87.34
Ahmednagar,Jamkhed,Jamkhed_Cluster_8,18.7726,74.8161,Adsali,Co 86032,Clay Loam,Flood,4.39,01-07-2020,20-07-2021,2021,0.85,0.657,29.1,31.6,18.9,5.41,43.3,271.1,151.21
Ahmednagar,Sangamner,Sangamner_Cluster_10,18.8191,75.1305,Pre-seasonal,VSI 434,Medium Black,Drip,0.8,19-06-2018,31-10-2019,2019,0.85,0.679,30.8,33.3,18.6,6.33,68.4,354.2,168.41
Ahmednagar,Pathardi,Pathardi_Cluster_9,19.1094,74.7212,Adsali,Co 86032,Medium Black,Rainfed,1.89,18-09-2023,28-12-2024,2024,0.635,0.542,28.3,30.2,19,5.48,54.7,488.5,138.51
Ahmednagar,Ahmednagar,Ahmednagar_Cluster_15,18.9427,74.5889,Pre-seasonal,VSI 434,Medium Black,Flood,2.87,03-10-2022,26-01-2024,2024,0.597,0.488,28.2,30,19.5,6.03,40.9,459.9,115.05
Ahmednagar,Rahuri,Rahuri_Cluster_20,18.6404,74.9705,Adsali,CoM 0265,Clay Loam,Rainfed,0.75,27-07-2018,09-10-2019,2019,0.693,0.571,33,35.1,21.8,4.59,58.8,337.5,134.62
Ahmednagar,Sangamner,Sangamner_Cluster_18,18.5406,74.653,Pre-seasonal,Co 92005,Black Cotton,Flood,4.59,05-09-2020,03-12-2021,2021,0.745,0.598,30.9,33.2,20.8,6.4,77.1,452.7,136.97
Ahmednagar,Karjat,Karjat_Cluster_7,19.2801,75.1328,Adsali,Co 86032,Medium Black,Drip,2.67,26-10-2020,08-02-2022,2022,0.792,0.653,27.9,30.3,18.1,4.89,59.2,410.5,180
Ahmednagar,Rahata,Rahata_Cluster_12,18.6898,75.1664,Pre-seasonal,Co 86032,Clay Loam,Flood,0.59,29-10-2022,02-12-2023,2023,0.798,0.63,31.9,34.3,23.8,5.03,67.1,701.2,158.12
